episode_rewards,success_rates,actor_losses,critic_losses,q1_values,q2_values,
-50,,0,0.096504837,-1.301152468,-1.294254303,
-50,,1.298415303,0.095705584,-1.315757155,-1.316656828,
-50,,0,0.106544696,-1.256654382,-1.256807089,
-50,,1.234159708,0.110932231,-1.23678112,-1.242604256,
-50,,0,0.096837208,-1.233570814,-1.239722967,
-50,,1.318486691,0.092790022,-1.276022911,-1.274587512,
-50,,0,0.095872626,-1.319909692,-1.312603712,
-50,,1.263489842,0.118211403,-1.307947993,-1.301519513,
-50,,0,0.078297049,-1.327660561,-1.325116038,
-50,,1.208446741,0.071340889,-1.254745007,-1.259352207,
-50,,0,0.090278126,-1.260650635,-1.27373004,
-50,,1.291884422,0.096531697,-1.303137779,-1.308194637,
-50,,0,0.111637071,-1.334601641,-1.335158944,
-50,,1.258320808,0.105659649,-1.343293071,-1.338905334,
-50,,0,0.068131104,-1.326938629,-1.31598103,
-50,,1.1992383,0.08889246,-1.291062117,-1.285544157,
-50,,0,0.088505812,-1.275620103,-1.273172617,
-50,,1.213690281,0.103933588,-1.264336467,-1.270345926,
-50,,0,0.069132917,-1.299761653,-1.303654432,
-50,,1.282574177,0.10689842,-1.337106228,-1.336520672,
-50,,0,0.070984244,-1.360651851,-1.358045578,
-50,,1.239043951,0.099105038,-1.320143342,-1.315960646,
-50,,0,0.083639562,-1.326708436,-1.322029591,
-50,,1.234311342,0.112586088,-1.309824944,-1.308482289,
-50,,0,0.094828531,-1.306207538,-1.308275938,
-50,,1.261283517,0.095678315,-1.300547361,-1.303432465,
-50,,0,0.088936731,-1.315865397,-1.319521427,
-50,,1.294358015,0.103091761,-1.348439574,-1.34489131,
-5,,0,0.090491012,-1.322897434,-1.317528486,
-50,,1.253700256,0.07739079,-1.326846838,-1.322929263,
-50,,0,0.085153915,-1.320749998,-1.321458578,
-50,,1.237102389,0.101588175,-1.286482334,-1.292601943,
-50,,0,0.072554134,-1.292901754,-1.300963879,
-50,,1.281376719,0.087488189,-1.331514001,-1.334391594,
-50,,0,0.089725271,-1.340217233,-1.33066988,
-50,,1.275327682,0.093938902,-1.347530365,-1.342576742,
-50,,0,0.067955978,-1.345518589,-1.345102549,
-50,,1.248886466,0.093268149,-1.329430103,-1.337264061,
-50,,0,0.080594301,-1.340781212,-1.342769384,
-50,,1.255839825,0.068622045,-1.329365373,-1.327017784,
-50,,0,0.075622,-1.32073307,-1.314263582,
-50,,1.25570035,0.061791837,-1.315948129,-1.309919596,
-50,,0,0.119446814,-1.354954362,-1.352590919,
-50,,1.240785003,0.06118533,-1.344693422,-1.347746015,
-50,,0,0.057394214,-1.360870719,-1.365750194,
-50,,1.228930473,0.080019563,-1.337740541,-1.339426279,
-50,,0,0.117317811,-1.33571279,-1.34079361,
-50,,1.23071909,0.076770224,-1.312055826,-1.319617987,
-50,,0,0.071249932,-1.334364891,-1.339205503,
-50,,1.255811453,0.084277421,-1.339251876,-1.338340759,
-50,,0,0.08274284,-1.35450685,-1.35101521,
-50,,1.257786512,0.095611259,-1.369524956,-1.361257315,
-3,,0,0.077854939,-1.390453577,-1.382041812,
-50,,1.226477742,0.110807583,-1.363818169,-1.361015558,
-50,,0,0.075419225,-1.343841672,-1.34851265,
-50,,1.211851954,0.088503227,-1.340416074,-1.348387361,
-50,,0,0.069765583,-1.342248678,-1.343613029,
-50,,1.233959079,0.092477724,-1.39085865,-1.383327961,
-50,,0,0.078943916,-1.384388566,-1.379067898,
-50,,1.191590548,0.073921993,-1.381973982,-1.386106014,
-50,,0,0.066739149,-1.367697835,-1.375014782,
-50,,1.200827837,0.091318518,-1.382148027,-1.389913559,
-50,,0,0.093479387,-1.359225512,-1.359609723,
-50,,1.167935133,0.109623745,-1.380077362,-1.372425199,
-50,,0,0.078297928,-1.349415183,-1.347849131,
-50,,1.140513659,0.082361117,-1.362889409,-1.365027547,
-50,,0,0.083705112,-1.367598176,-1.367545605,
-50,,1.122312069,0.121439062,-1.37047267,-1.376146793,
-50,,0,0.106012523,-1.418705702,-1.420369983,
-50,,1.068511248,0.080465607,-1.376208663,-1.37971139,
-50,,0,0.082429796,-1.390980244,-1.384751081,
-50,,1.100393057,0.112175822,-1.36934185,-1.360997319,
-50,,0,0.138183847,-1.405950189,-1.400219917,
-50,,1.11696744,0.099319592,-1.388279438,-1.39338994,
-50,,0,0.088066168,-1.41051209,-1.421431184,
-50,,1.121300936,0.124263287,-1.390359879,-1.405939817,
-50,,0,0.107943878,-1.417702794,-1.422069311,
-50,,1.095776796,0.089279816,-1.385458469,-1.372526765,
-50,,0,0.145258591,-1.372525454,-1.364868402,
-50,,1.067450166,0.107961394,-1.347108603,-1.339124203,
-50,,0,0.136573374,-1.347713828,-1.340514183,
-50,,1.179889083,0.132910758,-1.410391569,-1.414447784,
-50,,0,0.063967288,-1.411277533,-1.414822459,
-50,,1.216575146,0.108796403,-1.440526962,-1.437271118,
-50,,0,0.11391376,-1.409260988,-1.413877726,
-50,,1.216594934,0.11898461,-1.405266047,-1.415721893,
-50,,0,0.114154778,-1.384446144,-1.392137408,
-50,,1.267840505,0.081584796,-1.384749889,-1.389590621,
-50,,0,0.112321407,-1.391388893,-1.38250947,
-50,,1.254875898,0.138180047,-1.406384349,-1.403500795,
-50,,0,0.142575935,-1.423785686,-1.419117212,
-50,,1.240653515,0.126733214,-1.419403315,-1.418895483,
-50,,0,0.10378468,-1.402572036,-1.39588666,
-50,,1.17193222,0.133007109,-1.383047819,-1.376512527,
-50,,0,0.096679024,-1.400652647,-1.39485836,
-50,,1.258517742,0.093844011,-1.446921945,-1.451925278,
-50,,0,0.109934404,-1.411176205,-1.420380712,
-50,,1.285121441,0.106734261,-1.462310314,-1.477966785,
-50,,0,0.105972722,-1.451529503,-1.457682133,
-50,,1.26157546,0.134293765,-1.415281057,-1.413769484,
-50,,0,0.113091499,-1.404245615,-1.394130111,
-50,,1.269783497,0.120662279,-1.389825821,-1.384167433,
-50,,0,0.125077501,-1.443134904,-1.445059061,
-50,,1.283090591,0.148142189,-1.430473328,-1.434738159,
-50,,0,0.091914415,-1.429607153,-1.425878525,
-50,,1.324508905,0.092110656,-1.464058399,-1.45804131,
-50,,0,0.092112333,-1.430461526,-1.420431137,
-50,,1.294580102,0.092351906,-1.446734905,-1.437697887,
-50,,0,0.14397046,-1.478696227,-1.477013588,
-2,,1.217695713,0.096745938,-1.454486609,-1.462530732,
-50,,0,0.10102535,-1.406382799,-1.417410851,
-50,,1.178757191,0.108297065,-1.404528618,-1.415803194,
-50,,0,0.111079782,-1.419527888,-1.42478919,
-50,,1.298639536,0.087825038,-1.464851379,-1.454302549,
-50,,0,0.074775584,-1.500766754,-1.492724657,
-50,,1.28600812,0.0822905,-1.498926163,-1.490493536,
-50,,0,0.075470991,-1.496799231,-1.505084634,
-50,,1.191737771,0.099294938,-1.453174233,-1.462874532,
-50,,0,0.126778945,-1.413948774,-1.414561987,
-50,,1.316334724,0.106992804,-1.45112443,-1.444752693,
-50,,0,0.08357279,-1.430456996,-1.420149803,
-50,,1.336236,0.115633212,-1.483243227,-1.472498894,
-50,,0,0.088861138,-1.487319469,-1.491239071,
-50,,1.270109177,0.080065355,-1.471408963,-1.47832799,
-50,,0,0.072498105,-1.451806784,-1.453674555,
-50,,1.27350831,0.129852742,-1.453295588,-1.461285353,
-3,,0,0.09778221,-1.447381973,-1.461507797,
-50,,1.298514128,0.078362301,-1.444100142,-1.449064732,
-50,,0,0.093568027,-1.478487253,-1.464901209,
-50,,1.337439656,0.087032028,-1.503216028,-1.486846924,
-50,,0,0.091695741,-1.497389436,-1.486336231,
-50,,1.371185541,0.120830089,-1.507031798,-1.510155678,
-50,,0,0.146101445,-1.467001438,-1.474878669,
-50,,1.30737257,0.09962704,-1.45741415,-1.464870691,
-50,,0,0.086126581,-1.44783473,-1.451961875,
-50,,1.386029959,0.084375545,-1.474581122,-1.473860264,
-50,,0,0.099224567,-1.508345723,-1.514826775,
-50,,1.353718281,0.119200245,-1.513190389,-1.516723394,
-50,,0,0.111741856,-1.505893588,-1.50741148,
-50,,1.243027806,0.102455139,-1.432490826,-1.430798292,
-1,,0,0.071518041,-1.458966494,-1.441109776,
-50,,1.386329889,0.064561114,-1.478616953,-1.452035308,
-2,,0,0.140422583,-1.524287462,-1.517085552,
-50,,1.391051054,0.091240853,-1.525769949,-1.542645216,
-50,,0,0.091801926,-1.492431879,-1.520597577,
-50,,1.409028769,0.101873845,-1.490901709,-1.502742052,
-3,,0,0.108445384,-1.48186779,-1.475302577,
-50,,1.377696991,0.084883407,-1.456372023,-1.446361065,
0,,0,0.080505952,-1.487218499,-1.47406888,
-50,,1.505761623,0.083690211,-1.519714952,-1.513648033,
-50,,0,0.082569078,-1.572036266,-1.580611706,
-50,,1.377056122,0.12801227,-1.550569773,-1.560373664,
-50,,0,0.080386043,-1.516432285,-1.528882027,
-50,,1.27588439,0.069060452,-1.468529582,-1.470420837,
-50,,0,0.08793541,-1.472534776,-1.446540356,
-50,,1.34750843,0.090110771,-1.469607472,-1.425999522,
-50,,0,0.083657734,-1.544422865,-1.537384033,
-50,,1.387769461,0.111812323,-1.569607377,-1.595181704,3
-50,,0,0.08467371,-1.533811092,-1.579296589,
-50,,1.360254645,0.056561433,-1.503156424,-1.544977903,
-50,,0,0.087637007,-1.49275136,-1.490678191,
-50,,1.500261903,0.091133788,-1.555534124,-1.506163597,
-50,,0,0.057624035,-1.585046768,-1.533328056,
-50,,1.499577999,0.063102044,-1.567548037,-1.545773506,
-50,,0,0.090399861,-1.508695126,-1.532280207,
-50,,1.320392013,0.080882192,-1.523813367,-1.5703578,
-50,,0,0.059013546,-1.476816177,-1.523578167,
0,,1.3734231,0.094263956,-1.450884581,-1.457193136,
-50,,0,0.085567519,-1.519855618,-1.471729517,
-50,,1.457669854,0.08012408,-1.61968708,-1.566154599,
0,,0,0.078606404,-1.593472362,-1.574226022,
-50,,1.227499127,0.10889475,-1.545148492,-1.56503129,
-50,,0,0.110095136,-1.489204407,-1.543540239,
-50,,1.327181339,0.090728819,-1.518393397,-1.549883127,
-50,,0,0.067887209,-1.504997134,-1.493100166,
-50,,1.474150419,0.076137394,-1.56413269,-1.534649134,
-50,,0,0.070066199,-1.599977732,-1.569353819,
-50,,1.411802649,0.075024776,-1.575346351,-1.569481015,
-50,,0,0.079809472,-1.54287827,-1.564954281,
-50,,1.292971611,0.071247607,-1.505662084,-1.527998924,
0,,0,0.087958679,-1.514748454,-1.521135092,
-50,,1.529342175,0.058466651,-1.534680128,-1.52325964,
-50,,0,0.075244121,-1.575830579,-1.557967424,
-50,,1.468383551,0.106828094,-1.616316557,-1.605404854,
-50,,0,0.0717794,-1.579005718,-1.579053044,
-50,,1.353644133,0.106127322,-1.538330555,-1.54916954,
-50,,0,0.060470082,-1.519654036,-1.53922987,
-50,,1.426113367,0.109229028,-1.528983355,-1.543159246,
-50,,0,0.06546279,-1.586936951,-1.589448094,
-2,,1.557612896,0.049507372,-1.596397161,-1.586537123,
-50,,0,0.082180344,-1.612870216,-1.594466686,
-50,,1.44178772,0.088756964,-1.587073565,-1.567012191,
-50,,0,0.110963047,-1.526410699,-1.516085625,
-50,,1.43614459,0.04986468,-1.518055797,-1.536855698,
-50,,0,0.126570359,-1.54815793,-1.575743675,
-50,,1.538593292,0.045809563,-1.561051846,-1.576954603,
-50,,0,0.073050886,-1.606103659,-1.605318069,
-50,,1.56090951,0.098657668,-1.586492538,-1.573140979,
-50,,0,0.070936128,-1.604238272,-1.581120968,
-50,,1.499480486,0.033586629,-1.5892905,-1.576699376,
-50,,0,0.081444561,-1.561441779,-1.569956541,
-50,,1.400962353,0.076078922,-1.534557581,-1.552058935,
-1,,0,0.086877584,-1.533738852,-1.545002937,
-50,,1.514384151,0.086982429,-1.533842921,-1.534238696,
-50,,0,0.043656863,-1.593897104,-1.583399415,
-50,,1.62136507,0.070242271,-1.657662392,-1.637355566,
-50,,0,0.076384708,-1.659285307,-1.649919987,
-50,,1.527029753,0.067098416,-1.628137946,-1.629982591,
-50,,0,0.092962213,-1.571480513,-1.578393936,
-50,,1.423989892,0.073812947,-1.53435564,-1.549173117,
-50,,0,0.088603228,-1.572690248,-1.591847897,
-50,,1.550738931,0.058893375,-1.562710285,-1.574547291,
-2,,0,0.075020462,-1.635272503,-1.629971743,
-50,,1.631220102,0.05825486,-1.663717985,-1.647694588,
-50,,0,0.047680769,-1.673633575,-1.65299952,
-50,,1.525892496,0.10004691,-1.639501333,-1.630191565,
-50,,0,0.076257788,-1.611587286,-1.608194351,
-50,,1.492451668,0.073382065,-1.584967613,-1.590937614,
-50,,0,0.116298124,-1.569398642,-1.59331584,
-50,,1.556040049,0.053483814,-1.582783937,-1.610934615,
-50,,0,0.092395231,-1.606118679,-1.618192673,
-50,,1.555761814,0.069172658,-1.643624187,-1.634818077,
-50,,0,0.065697029,-1.636982083,-1.604712725,
-50,,1.459551573,0.079772323,-1.592037916,-1.56702137,
-50,,0,0.119134903,-1.634009361,-1.621630669,
-50,,1.527160764,0.051920824,-1.611344576,-1.621047258,
-50,,0,0.034077697,-1.613870502,-1.640106797,
-50,,1.595414519,0.064336717,-1.652695537,-1.670495749,
-50,,0,0.089747369,-1.643999457,-1.65348053,
-50,,1.534032106,0.055004425,-1.610668898,-1.598656535,
-50,,0,0.069604293,-1.633307099,-1.607214212,
-50,,1.47614336,0.092010245,-1.633058906,-1.614840627,
-50,,0,0.070922986,-1.609165549,-1.604621291,
-50,,1.536183834,0.09865696,-1.623123169,-1.641699076,
-50,,0,0.09169814,-1.613228321,-1.636479259,
-2,,1.58848834,0.032029986,-1.656680107,-1.672902584,
-50,,0,0.11637181,-1.641673803,-1.639653563,
